"Bygmestervej 3, 2400 København NV"
"Møntmestervej 20, 1. tv, 2400 København NV"
"Mågevej 11, 2. tv, 2400 København NV"
"Sokkelundsvej 10, 1. tv, 2400 København NV"
"Mågevej 61, st. tv, 2400 København NV"
"Nattergalevej 64, 2. tv, 2400 København NV"
"Degnestavnen 23, 4. tv, 2400 København NV"
"Hulgårdsvej 5, 2. tv, 2400 København NV"
"Statholdervej 1, kl. 400, 2400 København NV"
"Hulgårdsvej 122, st. tv, 2400 København NV"
"Stenhuggervej 2, st. tv, 2400 København NV"
"Hvidkildevej 4, 1. tv, 2400 København NV"
"Hvidkildevej 50, 3. tv, 2400 København NV"
"Hyrdeledet 4A, 2400 København NV"
"Ørnevej 38, 2. th, 2400 København NV"
"Hyrdevangen 48, st. tv, 2400 København NV"
"Håndværkerhaven 19, 2. th, 2400 København NV"
"Håndværkerhaven 49B, 1. 104, 2400 København NV"
"Emdrupvej 139, 3., 2400 København NV"
"Stærevej 22, 3. th, 2400 København NV"
"Stærevej 36, st. b, 2400 København NV"
"Stærevej 67, 1. tv, 2400 København NV"
"Jacob Lindbergs Vej 13, 1. th, 2400 København NV"
"Svanevej 18, st., 2400 København NV"
"Svendelodden 8, 2. th, 2400 København NV"
"Oldermandsvej 35, st. th, 2400 København NV"
"Jeppes Allé 6, st. tv, 2400 København NV"
"Filosofvænget 20, 3., 2400 København NV"
"Fordresgårdvej 4, 2400 København NV"
"Kantorparken 31, 1. tv, 2400 København NV"
"Tagensvej 187, 4. th, 2400 København NV"
"Tagensvej 210, 1. tv, 2400 København NV"
"Tagensvej 239, 1. th, 2400 København NV"
"Frederiksborgvej 33, st. 3, 2400 København NV"
"Frederiksborgvej 135, 1. 1, 2400 København NV"
"Frederiksborgvej 173, 1., 2400 København NV"
"Theklavej 43, st. 17, 2400 København NV"
"Frederikssundsvej 16, 1. tv, 2400 København NV"
"Frederikssundsvej 39, st. th, 2400 København NV"
"Frederikssundsvej 62B, 4. tv, 2400 København NV"
"Frederikssundsvej 74C, 6. tv, 2400 København NV"
"Frederikssundsvej 92D, 4. th, 2400 København NV"
"Frederikssundsvej 108, 4. tv, 2400 København NV"
"Pragtstjernevej 29, 1. 4, 2400 København NV"
"Tingskrivervej 10, 4. tv, 2400 København NV"
"Præstelængen 25, 3. tv, 2400 København NV"
"Frimestervej 3, st. th, 2400 København NV"
"Frimestervej 28, 3. tv, 2400 København NV"
"Frimestervej 57, 2. tv, 2400 København NV"
"Tornskadestien 11, st. th, 2400 København NV"
"Banebrinken 73, 1. th, 2400 København NV"
"Tranevej 19, st. th, 2400 København NV"
"Rentemestervej 33, 2. tv, 2400 København NV"
"Genforeningspladsen 3, 2. tv, 2400 København NV"
"Tyttebærvej 5, 2400 København NV"
"Birkedommervej 6, 2. th, 2400 København NV"
"Glasvej 6, st. th, 2400 København NV"
"Birkedommervej 62, st. th, 2400 København NV"
"Kærsangervej 23, 2. tv, 2400 København NV"
"Bisiddervej 2, 3. th, 2400 København NV"
"Bispebjerg Bakke 11, 4. 415, 2400 København NV"
"Bispebjerg Parkallé 22, 3. 312, 2400 København NV"
"Landfogedvej 3, 1. th, 2400 København NV"
"Uglevej 5, 1. th, 2400 København NV"
"Landsdommervej 1, 4. th, 2400 København NV"
"Gransangervej 13, 3. tv, 2400 København NV"
"Bjergvænget 4, st. tv, 2400 København NV"
"Utterslevgård 3, st. th, 2400 København NV"
"Utterslevvej 13C, 2. th, 2400 København NV"
"Vagtmestervej 2, 4. tv, 2400 København NV"
"Blåmejsevej 6, kl., 2400 København NV"
"Bogfinkevej 19, 3. th, 2400 København NV"
"Bogtrykkervej 4, 4. tv, 2400 København NV"
"Bogtrykkervej 32, 2. tv, 2400 København NV"
"Rytterbakken 8, 3., 2400 København NV"
"Rønnebærvej 23, 3. tv, 2400 København NV"
"Rønningsvej 5, 3. tv, 2400 København NV"
"Rørsangervej 4, 2. th, 2400 København NV"
"Borups Allé 215A, st. th, 2400 København NV"
"Rørsangervej 71, 2. th, 2400 København NV"
"Borups Allé 241, st. th, 2400 København NV"
"Borups Allé 284, 3. th, 2400 København NV"
"Lygten 18, 1., 2400 København NV"
"Lærkevej 10, 4. th, 2400 København NV"
"Magistervej 31, 2. tv, 2400 København NV"
"Bygmestervej 53, st. tv, 2400 København NV"
"Vestergårdsvej 23, 2. tv, 2400 København NV"
"Henriksvej 7, 2400 København NV"
"Vibevej 5, 1. th, 2400 København NV"
"Bøllegård Allé 19, 1. th, 2400 København NV"
"Vibevej 79, st. th, 2400 København NV"
"Skoleholdervej 47, 4. th, 2400 København NV"
"Hillerødgade 177, 1. mf, 2400 København NV"
"Skovduestien 5, st. tv, 2400 København NV"
"Musvågevej 3, 2. tv, 2400 København NV"
"Sneppevej 15, 3. tv, 2400 København NV"
"Møntmestervej 6C, 2. th, 2400 København NV"
"Møntmestervej 20, 2. th, 2400 København NV"
"Mågevej 11, 3. th, 2400 København NV"
"Sokkelundsvej 10, 2. th, 2400 København NV"
"Mågevej 61, 1. th, 2400 København NV"
"Nattergalevej 64, 3., 2400 København NV"
"Sporemagervej 4, 1. tv, 2400 København NV"
"Degnestavnen 25, st., 2400 København NV"
"Hulgårdsvej 6A, 2400 København NV"
"Statholdervej 1, st. th, 2400 København NV"
"Hulgårdsvej 122, 1. th, 2400 København NV"
"Stenhuggervej 2, 1. th, 2400 København NV"
"Hvidkildevej 4, 2. th, 2400 København NV"
"Hvidkildevej 51, 2400 København NV"
"Hyrdeledet 4B, 2400 København NV"
"Ørnevej 38, 2. tv, 2400 København NV"
"Hyrdevangen 48, 1. th, 2400 København NV"
"Håndværkerhaven 19, 2. tv, 2400 København NV"
"Håndværkerhaven 49B, 1. 105, 2400 København NV"
"Emdrupvej 66, kl., 2400 København NV"
"Emdrupvej 141, st. th, 2400 København NV"
"Stærevej 22, 3. tv, 2400 København NV"
"Stærevej 36, st. c, 2400 København NV"
"Stærevej 67, 2. th, 2400 København NV"
"Jacob Lindbergs Vej 13, 1. tv, 2400 København NV"
"Svanevej 18, st. th, 2400 København NV"
"Svendelodden 8, 2. tv, 2400 København NV"
"Frederikssundsvej 18D, 2400 København NV"
"Frederikssundsvej 20A, kl., 2400 København NV"
"Frederikssundsvej 20A, st., 2400 København NV"
"Frederikssundsvej 20B, 2400 København NV"
"Frederikssundsvej 22A, kl. tv, 2400 København NV"
"Frederikssundsvej 22A, st. tv, 2400 København NV"
"Frederikssundsvej 22B, kl. 2, 2400 København NV"
"Frederikssundsvej 22B, st. th, 2400 København NV"
"Frederikssundsvej 24A, kl. 1, 2400 København NV"
"Frederikssundsvej 24A, st. tv, 2400 København NV"
"Efterslægtsvej 2A, 2400 København NV"
"Efterslægtsvej 2B, 2400 København NV"
"Efterslægtsvej 2C, 2400 København NV"
"Efterslægtsvej 2D, 2400 København NV"
"Efterslægtsvej 4A, 2400 København NV"
"Efterslægtsvej 4B, 2400 København NV"
"Efterslægtsvej 4C, 2400 København NV"
"Efterslægtsvej 4D, 2400 København NV"
"Efterslægtsvej 6A, 2400 København NV"
"Efterslægtsvej 6B, 2400 København NV"
"Efterslægtsvej 6C, 2400 København NV"
"Efterslægtsvej 6D, 2400 København NV"
"Efterslægtsvej 8A, 2400 København NV"
"Efterslægtsvej 8B, 2400 København NV"
"Efterslægtsvej 8C, 2400 København NV"
"Efterslægtsvej 8D, 2400 København NV"
"Efterslægtsvej 10A, 2400 København NV"
"Efterslægtsvej 10B, 2400 København NV"
"Efterslægtsvej 10C, 2400 København NV"
"Efterslægtsvej 10D, 2400 København NV"
"Efterslægtsvej 12A, 2400 København NV"
"Efterslægtsvej 12B, 2400 København NV"
"Efterslægtsvej 12C, 2400 København NV"
"Efterslægtsvej 12D, 2400 København NV"
"Efterslægtsvej 14A, 2400 København NV"
"Efterslægtsvej 14B, 2400 København NV"
"Efterslægtsvej 14C, 2400 København NV"
"Efterslægtsvej 14D, 2400 København NV"
"Efterslægtsvej 16A, 2400 København NV"
"Efterslægtsvej 16B, 2400 København NV"
"Efterslægtsvej 16C, 2400 København NV"
"Efterslægtsvej 16D, 2400 København NV"
"Efterslægtsvej 18A, 2400 København NV"
"Efterslægtsvej 18B, 2400 København NV"
"Efterslægtsvej 18C, 2400 København NV"
"Efterslægtsvej 18D, 2400 København NV"
"Efterslægtsvej 20A, 2400 København NV"
"Efterslægtsvej 20B, 2400 København NV"
"Efterslægtsvej 20C, 2400 København NV"
"Efterslægtsvej 20D, 2400 København NV"
"Efterslægtsvej 22A, 2400 København NV"
"Efterslægtsvej 22B, 2400 København NV"
"Efterslægtsvej 22C, 2400 København NV"
"Efterslægtsvej 22D, 2400 København NV"
"Efterslægtsvej 26, 2400 København NV"
"Efterslægtsvej 28A, 2400 København NV"
"Efterslægtsvej 28B, 2400 København NV"
"Efterslægtsvej 28C, 2400 København NV"
"Efterslægtsvej 28D, 2400 København NV"
"Efterslægtsvej 30A, 2400 København NV"
"Efterslægtsvej 30B, 2400 København NV"
"Efterslægtsvej 30C, 2400 København NV"
"Efterslægtsvej 30D, 2400 København NV"
"Hejrevej 42, 2400 København NV"
"Skovduestien 17, 2., 2400 København NV"
"Tøjmestervej 6, 2. th, 2400 København NV"
"Vibevej 1, 3., 2400 København NV"
"Vognborgvej 15, 2400 København NV"
"Gråspurvevej 3, 1. 4, 2400 København NV"
"Gråspurvevej 3, 1. 3, 2400 København NV"
"Gråspurvevej 3, st., 2400 København NV"
"Gråspurvevej 3, 6. 3, 2400 København NV"
"Gråspurvevej 3, 6. 2, 2400 København NV"
"Gråspurvevej 3, 6. 1, 2400 København NV"
"Gråspurvevej 3, 5. 4, 2400 København NV"
"Gråspurvevej 3, 5. 3, 2400 København NV"
"Gråspurvevej 3, 5. 2, 2400 København NV"
"Gråspurvevej 3, 5. 1, 2400 København NV"
"Gråspurvevej 3, 4. 3, 2400 København NV"
"Gråspurvevej 3, 4. 2, 2400 København NV"
"Gråspurvevej 3, 4. 1, 2400 København NV"
"Gråspurvevej 5, 1. 1, 2400 København NV"
"Gråspurvevej 5, 1. 2, 2400 København NV"
"Gråspurvevej 5, 1. 4, 2400 København NV"
"Gråspurvevej 5, 2. 3, 2400 København NV"
"Gråspurvevej 5, 2. 2, 2400 København NV"
"Gråspurvevej 5, 2. 1, 2400 København NV"
"Gråspurvevej 5, 1. 3, 2400 København NV"
"Gråspurvevej 5, 3. 1, 2400 København NV"
"Gråspurvevej 5, st., 2400 København NV"
"Nattergalevej 11, st., 2400 København NV"
"Gråspurvevej 5, 5. 1, 2400 København NV"
"Gråspurvevej 5, 4. 3, 2400 København NV"
"Gråspurvevej 5, 4. 2, 2400 København NV"
"Gråspurvevej 5, 4. 1, 2400 København NV"
"Gråspurvevej 5, 3. 4, 2400 København NV"
"Gråspurvevej 5, 3. 3, 2400 København NV"
"Gråspurvevej 5, 3. 2, 2400 København NV"
"Gråspurvevej 7, st., 2400 København NV"
"Gråspurvevej 9, st., 2400 København NV"
"Gråspurvevej 11, st., 2400 København NV"
"Gråspurvevej 13, st., 2400 København NV"
"Skovstjernevej 17, 1. 2, 2400 København NV"
"Gråspurvevej 19, st., 2400 København NV"
"Gråspurvevej 21, st., 2400 København NV"
"Stærevej 28A, st., 2400 København NV"
"Gråspurvevej 23, st., 2400 København NV"
"Stærevej 28B, st., 2400 København NV"
"Gråspurvevej 25, 6. 1, 2400 København NV"
"Stærevej 28C, st., 2400 København NV"
"Gråspurvevej 25, 6. 2, 2400 København NV"
"Stærevej 28D, 1. 1, 2400 København NV"
"Gråspurvevej 25, 1. 2, 2400 København NV"
"Stærevej 28D, 1. 2, 2400 København NV"
"Gråspurvevej 25, 2. 1, 2400 København NV"
"Stærevej 28D, 1. 4, 2400 København NV"
"Gråspurvevej 25, 4. 3, 2400 København NV"
"Stærevej 28D, 2. 2, 2400 København NV"
"Gråspurvevej 25, 4. 2, 2400 København NV"
"Stærevej 28D, 2. 1, 2400 København NV"
"Gråspurvevej 25, 4. 1, 2400 København NV"
"Stærevej 28D, 1. 5, 2400 København NV"
"Gråspurvevej 25, 3. 3, 2400 København NV"
"Stærevej 28D, 1. 3, 2400 København NV"
"Gråspurvevej 25, 3. 2, 2400 København NV"
"Stærevej 28D, 2. 3, 2400 København NV"
"Gråspurvevej 25, 3. 1, 2400 København NV"
"Stærevej 28D, 4. 2, 2400 København NV"
"Gråspurvevej 25, 2. 4, 2400 København NV"
"Stærevej 28D, 4. 1, 2400 København NV"
"Gråspurvevej 25, 2. 3, 2400 København NV"
"Stærevej 28D, 3. 5, 2400 København NV"
"Gråspurvevej 25, 2. 2, 2400 København NV"
"Stærevej 28D, 3. 4, 2400 København NV"
"Gråspurvevej 25, 5. 3, 2400 København NV"
"Stærevej 28D, 3. 3, 2400 København NV"
"Gråspurvevej 25, 5. 2, 2400 København NV"
"Stærevej 28D, 3. 2, 2400 København NV"
"Gråspurvevej 25, 5. 1, 2400 København NV"
"Stærevej 28D, 3. 1, 2400 København NV"
"Gråspurvevej 25, 4. 4, 2400 København NV"
"Stærevej 28D, 2. 5, 2400 København NV"
"Gråspurvevej 25, 1. 3, 2400 København NV"
"Stærevej 28D, 2. 4, 2400 København NV"
"Gråspurvevej 25, 1. 1, 2400 København NV"
"Stærevej 28D, st., 2400 København NV"
"Gråspurvevej 25, 6. 4, 2400 København NV"
"Gråspurvevej 25, st. 2, 2400 København NV"
"Stærevej 28D, 4. 4, 2400 København NV"
"Gråspurvevej 25, st. 1, 2400 København NV"
"Stærevej 28D, 4. 3, 2400 København NV"
"Gråspurvevej 25, 6. 3, 2400 København NV"
"Stærevej 28E, st., 2400 København NV"
"Gråspurvevej 27, 1. 1, 2400 København NV"
"Gråspurvevej 27, 1. 2, 2400 København NV"
"Gråspurvevej 27, st., 2400 København NV"
"Gråspurvevej 27, 5. 2, 2400 København NV"
"Gråspurvevej 27, 5. 1, 2400 København NV"
"Gråspurvevej 27, 4. 3, 2400 København NV"
"Gråspurvevej 27, 4. 2, 2400 København NV"
"Gråspurvevej 27, 4. 1, 2400 København NV"
"Gråspurvevej 27, 3. 4, 2400 København NV"
"Gråspurvevej 27, 3. 3, 2400 København NV"
"Gråspurvevej 27, 3. 2, 2400 København NV"
"Gråspurvevej 27, 2. 3, 2400 København NV"
"Gråspurvevej 27, 2. 2, 2400 København NV"
"Gråspurvevej 27, 2. 1, 2400 København NV"
"Gråspurvevej 27, 1. 4, 2400 København NV"
"Gråspurvevej 27, 1. 3, 2400 København NV"
"Gråspurvevej 29, st., 2400 København NV"
"Gråspurvevej 31, st., 2400 København NV"
"Gråspurvevej 47, st., 2400 København NV"
"Gråspurvevej 49, 1. th, 2400 København NV"
"Gråspurvevej 49, 2. th, 2400 København NV"
"Gråspurvevej 49, 3. tv, 2400 København NV"
"Gråspurvevej 49, 3. th, 2400 København NV"
"Gråspurvevej 49, 2. tv, 2400 København NV"
"Gråspurvevej 49, 1. tv, 2400 København NV"
"Gråspurvevej 49, 4. th, 2400 København NV"
"Gråspurvevej 49, st. tv, 2400 København NV"
"Gråspurvevej 49, st. th, 2400 København NV"
"Gråspurvevej 49, 5. th, 2400 København NV"
"Gråspurvevej 49, 4. tv, 2400 København NV"
"Gråspurvevej 51, 1. 1, 2400 København NV"
"Gråspurvevej 51, 1. 2, 2400 København NV"
"Gråspurvevej 51, 2. 1, 2400 København NV"
"Gråspurvevej 51, 5. 2, 2400 København NV"
"Gråspurvevej 51, 5. 1, 2400 København NV"
"Gråspurvevej 51, 4. 3, 2400 København NV"
"Gråspurvevej 51, 4. 2, 2400 København NV"
"Gråspurvevej 51, 4. 1, 2400 København NV"
"Gråspurvevej 51, 3. 2, 2400 København NV"
"Gråspurvevej 51, 3. 1, 2400 København NV"
"Gråspurvevej 51, 2. 3, 2400 København NV"
"Gråspurvevej 51, 2. 2, 2400 København NV"
"Gråspurvevej 51, st., 2400 København NV"
"Gråspurvevej 51, 6. 3, 2400 København NV"
"Gråspurvevej 51, 6. 2, 2400 København NV"
"Gråspurvevej 51, 6. 1, 2400 København NV"
"Gråspurvevej 55, 1. 1, 2400 København NV"
"Gråspurvevej 55, 1. 2, 2400 København NV"
"Gråspurvevej 55, 1. 3, 2400 København NV"
"Gråspurvevej 55, 3. 5, 2400 København NV"
"Gråspurvevej 55, 3. 4, 2400 København NV"
"Gråspurvevej 55, 3. 3, 2400 København NV"
"Gråspurvevej 55, 3. 2, 2400 København NV"
"Gråspurvevej 55, 3. 1, 2400 København NV"
"Gråspurvevej 55, 2. 2, 2400 København NV"
"Gråspurvevej 55, 2. 1, 2400 København NV"
"Gråspurvevej 55, 1. 5, 2400 København NV"
"Gråspurvevej 55, 1. 4, 2400 København NV"
"Gråspurvevej 55, 4. 1, 2400 København NV"
"Gråspurvevej 55, st., 2400 København NV"
"Gråspurvevej 55, 6. 2, 2400 København NV"
"Gråspurvevej 55, 6. 1, 2400 København NV"
"Gråspurvevej 55, 5. 1, 2400 København NV"
"Gråspurvevej 55, 5. 2, 2400 København NV"
"Gråspurvevej 55, 5. 3, 2400 København NV"
"Gråspurvevej 55, 5. 5, 2400 København NV"
"Gråspurvevej 55, 5. 4, 2400 København NV"
"Gråspurvevej 55, 4. 3, 2400 København NV"
"Gråspurvevej 55, 4. 2, 2400 København NV"
"Gråspurvevej 57, st., 2400 København NV"
"Gråspurvevej 59, st., 2400 København NV"
"Gråspurvevej 61, st., 2400 København NV"
"Gråspurvevej 63, st., 2400 København NV"
"Gråspurvevej 65, st., 2400 København NV"
"Gråspurvevej 67, 1. 1, 2400 København NV"
"Gråspurvevej 67, 4. 3, 2400 København NV"
"Gråspurvevej 67, 4. 2, 2400 København NV"
"Gråspurvevej 67, 4. 1, 2400 København NV"
"Gråspurvevej 67, 3. 5, 2400 København NV"
"Gråspurvevej 67, 3. 4, 2400 København NV"
"Gråspurvevej 67, 3. 3, 2400 København NV"
"Gråspurvevej 67, 3. 2, 2400 København NV"
"Gråspurvevej 67, 3. 1, 2400 København NV"
"Gråspurvevej 67, 2. 5, 2400 København NV"
"Gråspurvevej 67, 2. 4, 2400 København NV"
"Gråspurvevej 67, 1. 4, 2400 København NV"
"Gråspurvevej 67, 1. 5, 2400 København NV"
"Gråspurvevej 67, 2. 1, 2400 København NV"
"Gråspurvevej 67, 2. 3, 2400 København NV"
"Gråspurvevej 67, 2. 2, 2400 København NV"
"Gråspurvevej 67, 1. 2, 2400 København NV"
"Gråspurvevej 69, st., 2400 København NV"
"Gråspurvevej 71, 1. 1, 2400 København NV"
"Gråspurvevej 71, 2. 1, 2400 København NV"
"Gråspurvevej 71, 2. 2, 2400 København NV"
"Gråspurvevej 71, 2. 4, 2400 København NV"
"Gråspurvevej 71, 3. 1, 2400 København NV"
"Gråspurvevej 71, 3. 3, 2400 København NV"
"Gråspurvevej 71, st., 2400 København NV"
"Gråspurvevej 71, 3. 2, 2400 København NV"
"Gråspurvevej 71, 2. 5, 2400 København NV"
"Gråspurvevej 71, 2. 3, 2400 København NV"
"Gråspurvevej 71, 1. 2, 2400 København NV"
"Gråspurvevej 71, 1. 3, 2400 København NV"
"Gråspurvevej 73, st., 2400 København NV"
"Gråspurvevej 75, st., 2400 København NV"
"Gråspurvevej 3, 1. 1, 2400 København NV"
"Gråspurvevej 3, 1. 2, 2400 København NV"
"Gråspurvevej 3, 3. 4, 2400 København NV"
"Gråspurvevej 3, 3. 3, 2400 København NV"
"Gråspurvevej 3, 3. 2, 2400 København NV"
"Gråspurvevej 3, 3. 1, 2400 København NV"
"Gråspurvevej 3, 2. 3, 2400 København NV"
"Gråspurvevej 3, 2. 2, 2400 København NV"
"Gråspurvevej 3, 2. 1, 2400 København NV"
"Møntmestervej 14H, 2., 2400 København NV"
"Sadelmagervej 8, 2., 2400 København NV"
"Vibevej 40, 1., 2400 København NV"
"Lygten 4E, 3. 3, 2400 København NV"
"Lygten 4A, 1. 1, 2400 København NV"
"Lygten 4A, 1. 2, 2400 København NV"
"Lygten 4A, 1. 3, 2400 København NV"
"Lygten 4A, 1. 4, 2400 København NV"
"Lygten 4A, 1. 5, 2400 København NV"
"Lygten 4A, 1. 6, 2400 København NV"
"Lygten 4A, 1. 7, 2400 København NV"
"Lygten 4A, 1. 8, 2400 København NV"
"Lygten 4A, 1. 9, 2400 København NV"
"Lygten 4A, 2. 1, 2400 København NV"
"Lygten 4A, 2. 2, 2400 København NV"
"Lygten 4A, 2. 3, 2400 København NV"
"Lygten 4A, 2. 4, 2400 København NV"
"Lygten 4A, 2. 5, 2400 København NV"
"Lygten 4A, 2. 6, 2400 København NV"
"Lygten 4A, 2. 7, 2400 København NV"
"Lygten 4A, 2. 8, 2400 København NV"
"Lygten 4A, 2. 9, 2400 København NV"
"Lygten 4A, 3. 1, 2400 København NV"
"Lygten 4A, 3. 2, 2400 København NV"
"Lygten 4A, 3. 3, 2400 København NV"
"Lygten 4A, 3. 4, 2400 København NV"
"Lygten 4A, 3. 5, 2400 København NV"
"Lygten 4A, 3. 6, 2400 København NV"
"Lygten 4A, 3. 7, 2400 København NV"
"Lygten 4A, 3. 8, 2400 København NV"
"Lygten 4A, 3. 9, 2400 København NV"
"Lygten 4B, st., 2400 København NV"
"Lygten 4D, st., 2400 København NV"
"Lygten 4E, 1. 1, 2400 København NV"
"Lygten 4E, 1. 2, 2400 København NV"
"Lygten 4E, 1. 3, 2400 København NV"
"Lygten 4E, 1. 4, 2400 København NV"
"Lygten 4E, 1. 5, 2400 København NV"
"Lygten 4E, 1. 6, 2400 København NV"
"Lygten 4E, 1. 7, 2400 København NV"
"Lygten 4E, 1. 8, 2400 København NV"
"Lygten 4E, 1. 9, 2400 København NV"
"Lygten 4E, 2. 1, 2400 København NV"
"Lygten 4E, 2. 2, 2400 København NV"
"Lygten 4E, 2. 3, 2400 København NV"
"Lygten 4E, 2. 4, 2400 København NV"
"Lygten 4E, 2. 5, 2400 København NV"
"Lygten 4E, 2. 6, 2400 København NV"
"Lygten 4E, 2. 7, 2400 København NV"
"Lygten 4E, 2. 8, 2400 København NV"
"Lygten 4E, 2. 9, 2400 København NV"
"Lygten 4E, 3. 1, 2400 København NV"
"Lygten 4E, 3. 2, 2400 København NV"
"Lygten 4E, 3. 4, 2400 København NV"
"Lygten 4E, 3. 5, 2400 København NV"
"Lygten 4E, 3. 6, 2400 København NV"
"Lygten 4E, 3. 7, 2400 København NV"
"Lygten 4E, 3. 8, 2400 København NV"
"Lygten 4E, 3. 9, 2400 København NV"
"Møntmestervej 14E, 1., 2400 København NV"
"Nattergalevej 83, 3., 2400 København NV"
"Jacob Lindbergs Vej 21, st. 1, 2400 København NV"
"Emdrupvej 126, 1., 2400 København NV"
"Emdrupvej 126, st., 2400 København NV"
"Genforeningspladsen 11, st., 2400 København NV"
"Grysgårdsvej 9, 2400 København NV"
"Grysgårdsvej 13, 2400 København NV"
"Højmosevej 1A, 2400 København NV"
"Højmosevej 1B, 2400 København NV"
"Højmosevej 1C, 2400 København NV"
"Højmosevej 1D, 2400 København NV"
"Jacob Lindbergs Vej 21, 1. 1, 2400 København NV"
"Jacob Lindbergs Vej 21, 1. 3, 2400 København NV"
"Jacob Lindbergs Vej 21, 1. 2, 2400 København NV"
"Jacob Lindbergs Vej 21, 1. 4, 2400 København NV"
"Jacob Lindbergs Vej 21, 2. 6, 2400 København NV"
"Jacob Lindbergs Vej 21, 2. 5, 2400 København NV"
"Jacob Lindbergs Vej 21, 2. 4, 2400 København NV"
"Jacob Lindbergs Vej 21, 2. 3, 2400 København NV"
"Jacob Lindbergs Vej 21, 2. 2, 2400 København NV"
"Jacob Lindbergs Vej 21, 2. 1, 2400 København NV"
"Jacob Lindbergs Vej 21, 1. 7, 2400 København NV"
"Jacob Lindbergs Vej 21, 1. 6, 2400 København NV"
"Jacob Lindbergs Vej 21, 1. 5, 2400 København NV"
"Jacob Lindbergs Vej 21, st. 4, 2400 København NV"
"Jacob Lindbergs Vej 21, st. 3, 2400 København NV"
"Jacob Lindbergs Vej 21, st. 2, 2400 København NV"
"Jacob Lindbergs Vej 21, 3. 4, 2400 København NV"
"Jacob Lindbergs Vej 21, 3. 3, 2400 København NV"
"Jacob Lindbergs Vej 21, 3. 2, 2400 København NV"
"Jacob Lindbergs Vej 21, 3. 1, 2400 København NV"
"Jacob Lindbergs Vej 21, 2. 7, 2400 København NV"
"Jacob Lindbergs Vej 21, st. 7, 2400 København NV"
"Jacob Lindbergs Vej 21, st. 6, 2400 København NV"
"Jacob Lindbergs Vej 21, st. 5, 2400 København NV"
"Degnestavnen 21, 1., 2400 København NV"
"Fyrbødervej 12, 9. 2903, 2400 København NV"
"Vestergårdsvej 19, st., 2400 København NV"
"Svanevej 21, 1. 225, 2400 København NV"
"Svanevej 21, 1. 224, 2400 København NV"
"Svanevej 21, 1. 223, 2400 København NV"
"Magdelonevej 20A, 2400 København NV"
"Magdelonevej 20B, 2400 København NV"
"Nebbegårdsbakken 14, 2400 København NV"
"Fyrbødervej 12, 6. 2601, 2400 København NV"
"Fyrbødervej 12, 6. 2606, 2400 København NV"
"Fyrbødervej 12, 6. 2608, 2400 København NV"
"Fyrbødervej 12, 6. 2610, 2400 København NV"
"På Bjerget 8, kl. th, 2400 København NV"
"Fyrbødervej 12, 2. 2209, 2400 København NV"
"Fyrbødervej 12, 2. 2208, 2400 København NV"
"Rentemestervej 37A, st. 1, 2400 København NV"
"Fyrbødervej 12, 2. 2207, 2400 København NV"
"Fyrbødervej 12, 2. 2206, 2400 København NV"
"Fyrbødervej 12, 2. 2205, 2400 København NV"
"Fyrbødervej 12, 2. 2204, 2400 København NV"
"Fyrbødervej 12, 2. 2203, 2400 København NV"
"Fyrbødervej 12, 2. 2202, 2400 København NV"
"Fyrbødervej 12, 2. 2201, 2400 København NV"
"Fyrbødervej 12, 1. 2114, 2400 København NV"
"Fyrbødervej 12, 1. 2112, 2400 København NV"
"Fyrbødervej 12, 1. 2111, 2400 København NV"
"Fyrbødervej 12, 1. 2110, 2400 København NV"
"Fyrbødervej 12, 1. 2109, 2400 København NV"
"Fyrbødervej 12, 1. 2108, 2400 København NV"
"Fyrbødervej 12, 1. 2107, 2400 København NV"
"Fyrbødervej 12, 1. 2106, 2400 København NV"
"Fyrbødervej 12, 1. 2105, 2400 København NV"
"Fyrbødervej 12, 1. 2104, 2400 København NV"
"Fyrbødervej 12, 1. 2103, 2400 København NV"
"Fyrbødervej 12, 1. 2102, 2400 København NV"
"Fyrbødervej 12, 1. 2101, 2400 København NV"
"Fyrbødervej 12, 9. 2909, 2400 København NV"
"Fyrbødervej 12, 9. 2908, 2400 København NV"
"Fyrbødervej 12, 9. 2907, 2400 København NV"
"Fyrbødervej 12, 9. 2906, 2400 København NV"
"Fyrbødervej 12, 9. 2905, 2400 København NV"
"Fyrbødervej 12, 9. 2904, 2400 København NV"
"Fyrbødervej 12, 9. 2902, 2400 København NV"
"Fyrbødervej 12, 9. 2901, 2400 København NV"
"Fyrbødervej 12, 8. 2814, 2400 København NV"
"Fyrbødervej 12, 8. 2813, 2400 København NV"
"Fyrbødervej 12, 8. 2812, 2400 København NV"
"Fyrbødervej 12, 8. 2811, 2400 København NV"
"Fyrbødervej 12, 8. 2810, 2400 København NV"
"Fyrbødervej 12, 7. 2705, 2400 København NV"
"Fyrbødervej 12, 7. 2704, 2400 København NV"
"Fyrbødervej 12, 7. 2703, 2400 København NV"
"Fyrbødervej 12, 7. 2702, 2400 København NV"
"Fyrbødervej 12, 7. 2701, 2400 København NV"
"Fyrbødervej 12, 6. 2614, 2400 København NV"
"Fyrbødervej 12, 6. 2613, 2400 København NV"
"Fyrbødervej 12, 6. 2612, 2400 København NV"
"Fyrbødervej 12, 6. 2611, 2400 København NV"
"Fyrbødervej 12, 7. 2714, 2400 København NV"
"Fyrbødervej 12, 7. 2713, 2400 København NV"
