"Gammel Kongevej 82F, 1850 Frederiksberg C"
"Gammel Kongevej 161, 5. 2, 1850 Frederiksberg C"
"Gammel Kongevej 156, 2. th, 1850 Frederiksberg C"
"Gammel Kongevej 156, 2. tv, 1850 Frederiksberg C"
"Gammel Kongevej 156, 5., 1850 Frederiksberg C"
"Gammel Kongevej 135A, 1850 Frederiksberg C"
"Gammel Kongevej 144, 1850 Frederiksberg C"
"Gammel Kongevej 91B, st. mf, 1850 Frederiksberg C"
"Gammel Kongevej 143A, 1850 Frederiksberg C"
"Gammel Kongevej 143, st. 2, 1850 Frederiksberg C"
"Gammel Kongevej 143, st. 3, 1850 Frederiksberg C"
"Gammel Kongevej 173A, 1850 Frederiksberg C"
"Gammel Kongevej 173A, st., 1850 Frederiksberg C"
"Gammel Kongevej 143B, 1850 Frederiksberg C"
"Gammel Kongevej 91B, st. tv, 1850 Frederiksberg C"
"Gammel Kongevej 91B, st. th, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 1. tv, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 1. mf, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 1. th, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 2. tv, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 2. mf, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 2. th, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 3. tv, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 3. th, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 4. tv, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 4. mf, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 4. th, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 5. tv, 1850 Frederiksberg C"
"Gammel Kongevej 91B, 5. th, 1850 Frederiksberg C"
"Gammel Kongevej 88, 2. tv, 1850 Frederiksberg C"
"Gammel Kongevej 139, 1., 1850 Frederiksberg C"
"Gammel Kongevej 147, 3. th, 1850 Frederiksberg C"
"Gammel Kongevej 148, 5. tv, 1850 Frederiksberg C"
"Gammel Kongevej 102, 3. mf, 1850 Frederiksberg C"
"Gammel Kongevej 85, 2. tv, 1850 Frederiksberg C"
"Gammel Kongevej 95, 1850 Frederiksberg C"
"Gammel Kongevej 161, 5. mf, 1850 Frederiksberg C"
"Gammel Kongevej 143, st., 1850 Frederiksberg C"
"Gammel Kongevej 143, st. 1, 1850 Frederiksberg C"
"Gammel Kongevej 143, 1. th, 1850 Frederiksberg C"
"Gammel Kongevej 143, 1. tv, 1850 Frederiksberg C"
"Gammel Kongevej 143, 2. th, 1850 Frederiksberg C"
"Gammel Kongevej 143, 2. tv, 1850 Frederiksberg C"
"Gammel Kongevej 143, 3. th, 1850 Frederiksberg C"
"Gammel Kongevej 143, 3. tv, 1850 Frederiksberg C"
"Gammel Kongevej 127, 5. 3, 1850 Frederiksberg C"
"Gammel Kongevej 127, 5. 5, 1850 Frederiksberg C"
"Gammel Kongevej 177B, kl., 1850 Frederiksberg C"
"Gammel Kongevej 128A, st., 1850 Frederiksberg C"
"Gammel Kongevej 128A, st. tv, 1850 Frederiksberg C"
"Gammel Kongevej 128A, st. tv, 1850 Frederiksberg C"
"Gammel Kongevej 152B, st. tv, 1850 Frederiksberg C"
"Gammel Kongevej 152B, st. tv, 1850 Frederiksberg C"
"Gammel Kongevej 152B, st. th, 1850 Frederiksberg C"
"Gammel Kongevej 152B, st. th, 1850 Frederiksberg C"
"Gammel Kongevej 152B, st., 1850 Frederiksberg C"
"Gammel Kongevej 124, 1. tv, 1850 Frederiksberg C"
"Gammel Kongevej 124, kl. 1, 1850 Frederiksberg C"
"Gammel Kongevej 90, st. 2, 1850 Frederiksberg C"
"Gammel Kongevej 93, kl., 1850 Frederiksberg C"
"Gammel Kongevej 93, st. mf, 1850 Frederiksberg C"
"Gammel Kongevej 93, st. th, 1850 Frederiksberg C"
"Gammel Kongevej 93, st. tv, 1850 Frederiksberg C"
"Gammel Kongevej 93, st. 1, 1850 Frederiksberg C"
"Gammel Kongevej 93, st. 2, 1850 Frederiksberg C"
"Gammel Kongevej 93, st. 3, 1850 Frederiksberg C"
"Gammel Kongevej 93, 1., 1850 Frederiksberg C"
"Gammel Kongevej 93, st., 1850 Frederiksberg C"
"Gammel Kongevej 93, 1850 Frederiksberg C"
