"Platanvej 24, 12. 2, 1810 Frederiksberg C"
"Platanvej 11, 3. tv, 1810 Frederiksberg C"
"Platanvej 24, 12. 3, 1810 Frederiksberg C"
"Platanvej 12, st., 1810 Frederiksberg C"
"Platanvej 24, 12. 4, 1810 Frederiksberg C"
"Platanvej 12, 1., 1810 Frederiksberg C"
"Platanvej 24, 12. 5, 1810 Frederiksberg C"
"Platanvej 13, st. mf, 1810 Frederiksberg C"
"Platanvej 24, 13. 1, 1810 Frederiksberg C"
"Platanvej 13, st. th, 1810 Frederiksberg C"
"Platanvej 24, 13. 2, 1810 Frederiksberg C"
"Platanvej 13, st. tv, 1810 Frederiksberg C"
"Platanvej 24, 13. 3, 1810 Frederiksberg C"
"Platanvej 13, 1. mf, 1810 Frederiksberg C"
"Platanvej 25, st. mf, 1810 Frederiksberg C"
"Platanvej 13, 1. th, 1810 Frederiksberg C"
"Platanvej 25, st. th, 1810 Frederiksberg C"
"Platanvej 13, 1. tv, 1810 Frederiksberg C"
"Platanvej 25, st. tv, 1810 Frederiksberg C"
"Platanvej 13, 2. mf, 1810 Frederiksberg C"
"Platanvej 25, 1. mf, 1810 Frederiksberg C"
"Platanvej 13, 2. th, 1810 Frederiksberg C"
"Platanvej 25, 1. th, 1810 Frederiksberg C"
"Platanvej 13, 2. tv, 1810 Frederiksberg C"
"Platanvej 25, 1. tv, 1810 Frederiksberg C"
"Platanvej 13, 3. mf, 1810 Frederiksberg C"
"Platanvej 25, 2. mf, 1810 Frederiksberg C"
"Platanvej 13, 3. th, 1810 Frederiksberg C"
"Platanvej 25, 2. th, 1810 Frederiksberg C"
"Platanvej 13, 3. tv, 1810 Frederiksberg C"
"Platanvej 25, 2. tv, 1810 Frederiksberg C"
"Platanvej 14, st. mf, 1810 Frederiksberg C"
"Platanvej 25, 3. mf, 1810 Frederiksberg C"
"Platanvej 14, st. th, 1810 Frederiksberg C"
"Platanvej 25, 3. th, 1810 Frederiksberg C"
"Platanvej 14, st. tv, 1810 Frederiksberg C"
"Platanvej 25, 3. tv, 1810 Frederiksberg C"
"Platanvej 14, 1. mf, 1810 Frederiksberg C"
"Platanvej 26, st. mf, 1810 Frederiksberg C"
"Platanvej 14, 1. th, 1810 Frederiksberg C"
"Platanvej 26, st. th, 1810 Frederiksberg C"
"Platanvej 14, 1. tv, 1810 Frederiksberg C"
"Platanvej 26, st. tv, 1810 Frederiksberg C"
"Platanvej 14, 2. mf, 1810 Frederiksberg C"
"Platanvej 26, 1. mf, 1810 Frederiksberg C"
"Platanvej 14, 2. th, 1810 Frederiksberg C"
"Platanvej 26, 1. th, 1810 Frederiksberg C"
"Platanvej 14, 2. tv, 1810 Frederiksberg C"
"Platanvej 26, 1. tv, 1810 Frederiksberg C"
"Platanvej 14, 3. mf, 1810 Frederiksberg C"
"Platanvej 26, 2. mf, 1810 Frederiksberg C"
"Platanvej 14, 3. th, 1810 Frederiksberg C"
"Platanvej 26, 2. th, 1810 Frederiksberg C"
"Platanvej 14, 3. tv, 1810 Frederiksberg C"
"Platanvej 26, 2. tv, 1810 Frederiksberg C"
"Platanvej 14, 4. mf, 1810 Frederiksberg C"
